key,english,french
dashboard.upcoming_bookings,Upcoming Bookings,Réservations à Venir
dashboard.view_all,View All,Voir Tout
dashboard.view_all_bookings,View all your bookings,Voir toutes vos réservations
dashboard.view_vouchers,View Vouchers,Voir les Bons
dashboard.welcome,Welcome,Bienvenue
destinations.available_experiences,Available Experiences,Expériences disponibles
destinations.breadcrumb_destinations,Destinations,Destinations
destinations.breadcrumb_home,Home,Accueil
destinations.description_title,About this destination,À propos de cette destination
destinations.experiences_coming_soon,Ready for Adventure?,Prêt pour l'aventure ?
destinations.experiences_coming_soon_desc,We're crafting unforgettable adventures in {name}. Stay tuned for upcoming experiences!,Nous préparons des aventures inoubliables à {name}. Restez à l'écoute pour les prochaines expériences !
destinations.explore_adventures,Explore the adventures,Explorer les aventures
destinations.explore_on_map,Explore on Map,Explorer sur la carte
destinations.explore_other,Explore other destinations,Explorer d'autres destinations
destinations.highlights_title,What awaits you,Ce qui vous attend
destinations.key_facts,Key Facts,Infos Clés
destinations.must_see_places,Must-See Places,Lieux Incontournables
destinations.photo_gallery,Photo Gallery,Galerie Photos
errors.404.browse_button,Browse Adventures,Explorer les Aventures
errors.404.heading,Page Not Found,Page Introuvable
errors.404.home_button,Back to Home,Retour à l'Accueil
errors.404.message,Oops! The adventure you're looking for doesn't exist. Perhaps it's time to explore new horizons.,Oups ! L'aventure que vous recherchez n'existe pas. Il est peut-être temps d'explorer de nouveaux horizons.
errors.404.title,404 - Page Not Found,404 - Page Introuvable
experience_types.adventure,Adventure & Nature,Aventure & nature
experience_types.adventure_desc,Thrilling outdoor experiences,Sensations fortes en plein air
experience_types.culinary,Food & Culinary,Gastronomie
experience_types.culinary_desc,Taste authentic flavors,Les saveurs authentiques
experience_types.cultural,Cultural Activities,Découverte culturelle
experience_types.cultural_desc,Dive deep into Tunisian heritage,Plongez dans l'histoire tunisienne
experience_types.desert,Desert Expeditions,Expéditions désert
experience_types.desert_desc,Explore the Sahara's magic,La magie du Sahara
experience_types.wellness,Wellness & Retreats,Bien-être
experience_types.wellness_desc,Rejuvenate mind and body,Ressourcez-vous corps et âme
experience_types.workshops,Workshops & Classes,Ateliers
experience_types.workshops_desc,Learn traditional crafts,Initiez-vous à l'artisanat local
footer.about,About Us,Qui sommes-nous
footer.address,"10 rue du municipalité, Djerba, Tunisia","10 rue du municipalité, Djerba, Tunisie"
footer.blog,Blog,Blog
footer.company,Company,Entreprise
footer.contact,Contact,Contact
footer.contact_us,Contact Us,Nous contacter
footer.copyright,Go Adventure. All rights reserved.,Go Adventure. Tous droits réservés.
footer.email,contact@go-adventure.net,contact@go-adventure.net
footer.events,Events,Événements
footer.my_account,My Account,Mon compte
footer.phone,+216 52 665 202,+216 52 665 202
footer.ppp_disclosure,"Prices may vary depending on country, currency, and billing address. We adapt pricing to ensure fair access across regions. The final price is confirmed at checkout",Les prix varient selon votre pays et votre devise. Le montant définitif s'affiche au moment du paiement
footer.privacy,Privacy Policy,Confidentialité
footer.support,Support,Aide
footer.tagline,Discover authentic Tunisian adventures with eco-friendly practices and local expertise. Your journey to extraordinary experiences starts here,Vivez la Tunisie autrement. Des expériences authentiques avec des guides locaux passionnés
footer.terms,Terms & Conditions,CGU
footer.tours,Activities,Activités
home.badge_adventure,Adventure,Aventure
home.badge_event,Event,Événement
home.badge_tour,Activity,Activité
home.blog_post_1_category,Travel Guide,Idées voyage
home.blog_post_1_date,"Dec 10, 2024",10 déc. 2024
home.blog_post_1_excerpt,Discover the lesser-known treasures of Tunisia that most tourists never see. From secret oases to ancient ruins...,"Ces trésors méconnus que les touristes ratent. Oasis secrètes, ruines antiques et villages hors du temps..."
home.blog_post_1_title,Top 10 Hidden Gems in Tunisia You Must Visit,10 pépites tunisiennes à découvrir absolument
home.blog_post_2_category,Eco Travel,Éco-tourisme
home.blog_post_2_date,"Dec 5, 2024",5 déc. 2024
home.blog_post_2_excerpt,Tips and practices for eco-conscious travelers who want to explore Tunisia while protecting its natural beauty...,Nos conseils pour explorer la Tunisie tout en préservant sa beauté naturelle et son patrimoine...
home.blog_post_2_title,How to Travel Sustainably in Tunisia,Voyager responsable en Tunisie : le guide
home.blog_post_3_category,Food & Culture,Gastronomie
home.blog_post_3_date,"Nov 28, 2024",28 nov. 2024
home.blog_post_3_excerpt,"From couscous to brik, discover the rich flavors and culinary traditions that make Tunisian food so special...","Du couscous au brik, plongez dans les traditions culinaires qui font la richesse de la cuisine tunisienne..."
home.blog_post_3_title,A Food Lover's Guide to Tunisian Cuisine,Saveurs de Tunisie : guide gourmand
home.blog_read_more,Read More,Lire la suite
home.blog_subtitle,"Travel tips, destination guides, and inspiring stories",Conseils et histoires pour préparer votre prochaine aventure
home.blog_title,Latest from Our Blog,Inspirations & récits
home.blog_view_all,View All Posts,Tous les articles
home.categories_subtitle,"From desert marathons to cultural immersions, find your perfect adventure","Trail, culture, gastronomie... trouvez l'aventure qui vous ressemble"
home.categories_title,Explore by Activity,Par type d'activité
home.cta_custom_button,Request Custom Trip,Créer mon aventure
home.cta_custom_description,Can't find exactly what you're looking for? Let us create a custom adventure just for you.,"Vous rêvez d'une expérience unique ? Laissez-nous créer l'aventure parfaite, taillée sur mesure pour vous."
home.cta_custom_title,Tailor-Made Desert Experiences,Votre Aventure Sur Mesure
home.custom_experience_cta,Get in Touch,Parlons-en
home.custom_experience_description,"Can't find exactly what you're looking for? We specialize in crafting personalized adventures tailored to your dreams. Tell us your vision, and our local experts will make it happen.","Créons ensemble votre aventure tunisienne idéale, selon vos envies, votre rythme et votre budget."
home.custom_experience_title,Create Your Own Custom Experience,Une envie particulière ?
home.destinations_subtitle,"From ancient oases to stunning coastlines, explore the diversity of our destinations","Des oasis millénaires aux côtes méditerranéennes, un pays aux mille visages"
home.destinations_title,Discover Tunisia,La Tunisie vous attend
home.experience_corporate,Corporate & Team Building,Séjours Corporate & Team Building
home.experience_cultural,Cultural Expeditions,Expéditions Culturelles
home.experience_cycling,Road & Mountain Biking,Vélo de Route & de Montagne
home.experience_hiking,"Trail Running, Hiking & Trekking","Trail Running, Randonnée & Trekking"
home.experience_types_subtitle,"Whatever your passion, we have an adventure waiting for you",Trouvez l'aventure qui vous correspond
home.experience_types_title,Types of Experiences,Nos expériences
home.experience_water_sports,Water Activities & Sports,Activités & Sports Nautiques
home.experiences_subtitle,"Authentic, responsible, unforgettable","Authentiques, responsables, inoubliables"
home.experiences_title,Our Experiences,Nos Expériences
home.explore_djerba_cta,Discover Djerba,Explorer Djerba
home.explore_djerba_description,"Discover the magic of Djerba, where ancient history meets pristine Mediterranean beaches. Explore historic synagogues, colorful souks, and experience the unique blend of cultures that makes this island a true gem of Tunisia.","Plages de sable fin, villages blancs et traditions séculaires vous attendent sur cette perle de la Méditerranée."
home.explore_djerba_subtitle,The Island of Dreams,L'île aux mille couleurs
home.explore_djerba_title,Explore Djerba,Cap sur Djerba
home.featured_activities_subtitle,Hand-picked experiences for unforgettable memories,Sélection de nos experts locaux
home.featured_activities_title,Featured Activities & Events,Nos coups de cœur
home.featured_package_1_description,"Explore the enchanting Island of Dreams with pristine beaches, ancient history, and vibrant culture","Plages de rêve, patrimoine millénaire et accueil chaleureux sur l'île enchanteresse"
home.featured_package_1_title,Djerba Island Discovery,Escapade à Djerba
home.featured_package_2_description,Experience the desert's beauty responsibly with our sustainable eco-tourism packages,Vivez la magie du désert dans le respect de l'environnement
home.featured_package_2_title,Sahara Eco Adventure,Sahara Éco-Responsable
home.featured_package_3_description,Challenge yourself with breathtaking mountain trails and discover Tunisia's hidden peaks,Relevez le défi des sentiers et découvrez les sommets secrets de Tunisie
home.featured_package_3_title,Mountain Trek Expedition,Trek en Montagne
home.featured_tours,Featured Activities,Activités en Vedette
home.hero_subtitle,"Discover authentic Tunisian adventures, eco-friendly experiences, and journeys off the beaten path",Des expériences inoubliables vous attendent dans les plus beaux coins de Tunisie
home.hero_title,Live More Than Just a Simple Travel,Découvrez la Tunisie Authentique
home.hero_title_line1,Discover the Magic of,Vivez l'Aventure
home.hero_title_line2,Southern Tunisia,au Cœur du Sahara
home.hero_travel_tip,Travel Tip: Best time to visit the Sahara is October to April,Astuce Voyage : Le meilleur moment pour visiter le Sahara est d'octobre à avril
home.hero_travel_tip_content,Best time to visit the Sahara is October to April,Le meilleur moment pour visiter le Sahara est d'octobre à avril
home.newsletter_button,Subscribe,Je m'inscris
home.newsletter_placeholder,Enter your email,Votre email
home.newsletter_privacy,We respect your privacy. Unsubscribe at any time.,Respect de votre vie privée. Désinscription en un clic.
home.newsletter_subtitle,"Subscribe to our newsletter for exclusive offers, travel tips, and adventure inspiration","Bons plans, conseils voyage et inspirations directement dans votre boîte mail."
home.newsletter_title,Stay Updated,Restez connecté
home.pillar_adventure_description,Unforgettable journeys in breathtaking landscapes,Des moments inoubliables dans des paysages grandioses
home.pillar_adventure_title,Epic Adventures,Sensations Fortes
home.pillar_authentic_description,Connect with local cultures and traditions,Immersion dans les cultures et traditions locales
home.pillar_authentic_title,Authentic Experiences,Authenticité Garantie
home.pillar_sustainable_description,Eco-conscious adventures that protect our planet,Des aventures qui préservent notre planète
home.pillar_sustainable_title,Sustainable Travel,Tourisme Responsable
home.popular_destinations,Popular Destinations,Destinations Populaires
home.search_activity,Activity,Activité
home.search_activity_placeholder,What kind of experience?,Que cherchez-vous ?
home.search_button,Search for Adventure →,Rechercher l'Aventure →
home.search_date,Date,Date
home.search_date_placeholder,Select dates,Quand ?
home.search_destination,Destination,Destination
home.search_destination_placeholder,Where to?,Où allez-vous ?
home.search_placeholder,Where do you want to go?,Où voulez-vous aller ?
home.testimonials_feedback_count,500+,500+
home.testimonials_feedback_label,Feedback from our adventurers,Les retours de nos aventuriers
home.testimonials_rating,4.88,4.88
home.testimonials_rating_label,Rating,Avis
home.testimonials_subtitle,"Your reviews, our best reward","Vos avis, notre plus belle récompense"
home.testimonials_title,They Experienced the Adventure with Us!,Ils ont vécu l'aventure avec nous !
home.upcoming_adventures,Upcoming Adventures,À venir
home.upcoming_events,Upcoming Events,Événements à Venir
home.usp_alternative_description,"Discover secret paths, untouched landscapes, and authentic encounters away from tourist crowds",Des trésors cachés loin du tourisme de masse
home.usp_alternative_title,Alternative Travels Off Conventional Roads,Sortez des sentiers battus
home.usp_authentic_description,Immerse yourself in genuine cultural experiences curated by local experts who know Tunisia's hidden treasures,Des rencontres et expériences qui marquent une vie
home.usp_authentic_title,Live More Than Just a Simple Travel,Bien plus qu'un voyage
home.usp_eco_description,Travel responsibly with our sustainable practices that protect the environment and support local communities,"Un tourisme responsable, certifié éco-friendly"
home.usp_eco_title,Eco-Friendly Adventures,Engagés pour la planète
home.view_all_adventures,View All,Tout voir
home.view_details,View Details →,En savoir plus →
itinerary.distance,Distance,Distance
itinerary.duration,Duration,Durée
itinerary.elevation,Elevation,Altitude
itinerary.elevation_profile,Elevation Profile,Profil d'Élévation
itinerary.from_previous,from previous stop,de l'arrêt précédent
itinerary.max_elevation,Max Elevation,Altitude Max
itinerary.min_elevation,Min Elevation,Altitude Min
itinerary.stops,Stops,Arrêts
itinerary.title,Itinerary,Itinéraire
itinerary.total_ascent,Total Ascent,Dénivelé Positif
itinerary.total_descent,Total Descent,Dénivelé Négatif
legal.back_to_home,Back to Home,Retour à l'Accueil
legal.cookies_last_updated,"December 18, 2025",18 décembre 2025
legal.cookies_meta_description,Learn about the cookies we use and how to manage your preferences.,Découvrez les cookies que nous utilisons et comment gérer vos préférences.
legal.cookies_policy.analytics_text,These cookies allow us to count visits and traffic sources so we can measure and improve our site performance. They help us know which pages are the most and least popular and see how visitors move around the site.,Ces cookies nous permettent de compter les visites et les sources de trafic afin de mesurer et d'améliorer les performances de notre site. Ils nous aident à savoir quelles pages sont les plus et les moins populaires et à voir comment les visiteurs naviguent sur le site.
legal.cookies_policy.analytics_title,Analytics Cookies,Cookies Analytiques
legal.cookies_policy.contact_email_label,Email,Email
legal.cookies_policy.contact_text,"If you have questions about our use of cookies, please contact us:","Si vous avez des questions sur notre utilisation des cookies, veuillez nous contacter :"
legal.cookies_policy.contact_title,Contact Us,Nous Contacter
legal.cookies_policy.cookie_consent,Stores your cookie preferences,Stocke vos préférences de cookies
legal.cookies_policy.cookie_csrf,Protects against cross-site request forgery,Protection contre les attaques CSRF
legal.cookies_policy.cookie_ga,Distinguishes users for analytics,Distingue les utilisateurs pour l'analyse
legal.cookies_policy.cookie_ga_id,Stores session state for analytics,Stocke l'état de la session pour l'analyse
legal.cookies_policy.cookie_session,Maintains your session state,Maintient l'état de votre session
legal.cookies_policy.duration_1year,1 year,1 an
legal.cookies_policy.duration_2years,2 years,2 ans
legal.cookies_policy.duration_session,Session,Session
legal.cookies_policy.essential_text,"These cookies are necessary for the website to function and cannot be switched off. They are usually set in response to actions you take, such as setting your privacy preferences, logging in, or filling in forms.","Ces cookies sont nécessaires au fonctionnement du site web et ne peuvent pas être désactivés. Ils sont généralement définis en réponse à des actions que vous effectuez, comme la définition de vos préférences de confidentialité, la connexion ou le remplissage de formulaires."
legal.cookies_policy.essential_title,Essential Cookies,Cookies Essentiels
legal.cookies_policy.introduction_text,"This Cookie Policy explains how Go Adventure uses cookies and similar technologies to recognize you when you visit our website. It explains what these technologies are, why we use them, and your rights to control our use of them.","Cette Politique de Cookies explique comment Go Adventure utilise les cookies et technologies similaires pour vous reconnaître lorsque vous visitez notre site web. Elle explique ce que sont ces technologies, pourquoi nous les utilisons et vos droits pour contrôler notre utilisation."
legal.cookies_policy.introduction_title,Introduction,Introduction
legal.cookies_policy.manage_banner,Using our cookie preference banner when you first visit the site,En utilisant notre bannière de préférences de cookies lors de votre première visite
legal.cookies_policy.manage_browser,Through your browser settings to block or delete cookies,Via les paramètres de votre navigateur pour bloquer ou supprimer les cookies
legal.cookies_policy.manage_text,You can manage your cookie preferences in several ways:,Vous pouvez gérer vos préférences de cookies de plusieurs façons :
legal.cookies_policy.manage_title,Managing Your Cookie Preferences,Gestion de Vos Préférences de Cookies
legal.cookies_policy.marketing_text,These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant advertisements on other sites.,Ces cookies peuvent être définis par nos partenaires publicitaires via notre site. Ils peuvent être utilisés par ces entreprises pour établir un profil de vos intérêts et vous montrer des publicités pertinentes sur d'autres sites.
legal.cookies_policy.marketing_title,Marketing Cookies,Cookies Marketing
legal.cookies_policy.table_duration,Duration,Durée
legal.cookies_policy.table_name,Cookie Name,Nom du Cookie
legal.cookies_policy.table_purpose,Purpose,Objectif
legal.cookies_policy.third_party_text,Some cookies are placed by third-party services that appear on our pages. We do not control the use of these cookies. Please refer to the respective privacy policies of these third parties for more information.,Certains cookies sont placés par des services tiers qui apparaissent sur nos pages. Nous ne contrôlons pas l'utilisation de ces cookies. Veuillez consulter les politiques de confidentialité respectives de ces tiers pour plus d'informations.
legal.cookies_policy.third_party_title,Third-Party Cookies,Cookies Tiers
legal.cookies_policy.what_are_text,Cookies are small data files that are placed on your computer or mobile device when you visit a website. They are widely used to make websites work more efficiently and to provide reporting information to website owners.,Les cookies sont de petits fichiers de données placés sur votre ordinateur ou appareil mobile lorsque vous visitez un site web. Ils sont largement utilisés pour faire fonctionner les sites web plus efficacement et fournir des informations aux propriétaires de sites.
legal.cookies_policy.what_are_title,What Are Cookies?,Que Sont les Cookies ?
legal.cookies_title,Cookie Policy,Politique de Cookies
legal.last_updated,Last updated,Dernière mise à jour
legal.privacy.contact_email_label,Email,Email
legal.privacy.contact_text,"If you have any questions about this Privacy Policy or wish to exercise your rights, please contact our Data Protection Officer:","Si vous avez des questions concernant cette Politique de Confidentialité ou souhaitez exercer vos droits, veuillez contacter notre Délégué à la Protection des Données :"
legal.privacy.contact_title,Contact Us,Nous Contacter
legal.privacy.data_collected_booking,Booking history and preferences,Historique des réservations et préférences
legal.privacy.data_collected_email,Email address,Adresse email
legal.privacy.data_collected_intro,We collect the following types of personal information:,Nous collectons les types de données personnelles suivants :
legal.privacy.data_collected_name,"Name and contact details (first name, last name)","Nom et coordonnées (prénom, nom)"
legal.privacy.data_collected_payment,Payment information (processed securely through our payment providers),Informations de paiement (traitées de manière sécurisée par nos prestataires de paiement)
legal.privacy.data_collected_phone,Phone number,Numéro de téléphone
legal.privacy.data_collected_title,Data We Collect,Données que Nous Collectons
legal.privacy.data_collected_usage,Usage data and browsing behavior on our website,Données d'utilisation et comportement de navigation sur notre site
legal.privacy.data_sharing_intro,We may share your personal information with:,Nous pouvons partager vos informations personnelles avec :
legal.privacy.data_sharing_legal,Legal authorities when required by law,Les autorités légales lorsque la loi l'exige
legal.privacy.data_sharing_payment,Payment processors for secure transaction handling,Les processeurs de paiement pour le traitement sécurisé des transactions
legal.privacy.data_sharing_title,Data Sharing,Partage des Données
legal.privacy.data_sharing_vendors,Activity vendors to fulfill your bookings,Les prestataires d'activités pour honorer vos réservations
legal.privacy.data_usage_booking,Processing and managing your bookings,Traitement et gestion de vos réservations
legal.privacy.data_usage_communication,Communicating with you about your reservations,Communication concernant vos réservations
legal.privacy.data_usage_improvement,Improving our services and website experience,Amélioration de nos services et de l'expérience du site
legal.privacy.data_usage_intro,We use your personal information for the following purposes:,Nous utilisons vos informations personnelles aux fins suivantes :
legal.privacy.data_usage_legal,Complying with legal obligations,Respect des obligations légales
legal.privacy.data_usage_marketing,Sending marketing communications (with your consent),Envoi de communications marketing (avec votre consentement)
legal.privacy.data_usage_title,How We Use Your Data,Comment Nous Utilisons Vos Données
legal.privacy.introduction_text,"At Go Adventure, we are committed to protecting your privacy. This Privacy Policy explains how we collect, use, disclose, and safeguard your information when you visit our website or use our services.","Chez Go Adventure, nous nous engageons à protéger votre vie privée. Cette Politique de Confidentialité explique comment nous collectons, utilisons, divulguons et protégeons vos informations lorsque vous visitez notre site web ou utilisez nos services."
legal.privacy.introduction_title,Introduction,Introduction
legal.privacy.retention_abandoned,Abandoned carts and holds: 30 days,Paniers et réservations abandonnés : 30 jours
legal.privacy.retention_bookings,Completed bookings: 7 years (for tax and legal compliance),Réservations confirmées : 7 ans (pour la conformité fiscale et légale)
legal.privacy.retention_cancelled,Cancelled bookings: 2 years (then anonymized),Réservations annulées : 2 ans (puis anonymisées)
legal.privacy.retention_text,We retain your personal data for as long as necessary to fulfill the purposes outlined in this policy:,Nous conservons vos données personnelles aussi longtemps que nécessaire pour atteindre les objectifs décrits dans cette politique :
legal.privacy.retention_title,Data Retention,Conservation des Données
legal.privacy.rights_access,Right to access your personal data,Droit d'accès à vos données personnelles
legal.privacy.rights_erasure,Right to erasure (right to be forgotten),Droit à l'effacement (droit à l'oubli)
legal.privacy.rights_intro,"Under GDPR and applicable data protection laws, you have the following rights:","En vertu du RGPD et des lois applicables en matière de protection des données, vous disposez des droits suivants :"
legal.privacy.rights_object,Right to object to processing,Droit d'opposition au traitement
legal.privacy.rights_portability,Right to data portability,Droit à la portabilité des données
legal.privacy.rights_rectification,Right to rectify inaccurate data,Droit de rectification des données inexactes
legal.privacy.rights_restriction,Right to restrict processing,Droit à la limitation du traitement
legal.privacy.rights_title,Your Rights,Vos Droits
legal.privacy_last_updated,"December 18, 2025",18 décembre 2025
legal.privacy_meta_description,"Learn how Go Adventure collects, uses, and protects your personal data.","Découvrez comment Go Adventure collecte, utilise et protège vos données personnelles."
legal.privacy_title,Privacy Policy,Politique de Confidentialité
legal.terms.booking_text,"When you make a booking through Go Adventure, you enter into a direct contractual relationship with the activity provider. We act as an intermediary to facilitate this transaction. All bookings are subject to availability and the specific terms of each activity provider.","Lorsque vous effectuez une réservation via Go Adventure, vous entrez en relation contractuelle directe avec le prestataire d'activité. Nous agissons en tant qu'intermédiaire pour faciliter cette transaction. Toutes les réservations sont soumises à disponibilité et aux conditions spécifiques de chaque prestataire."
legal.terms.booking_title,Booking Terms,Conditions de Réservation
legal.terms.cancellation_24h,24-48 hours before: 50% refund,24-48 heures avant : Remboursement de 50%
legal.terms.cancellation_48h,More than 48 hours before: Full refund,Plus de 48 heures avant : Remboursement intégral
legal.terms.cancellation_noshow,Less than 24 hours or no-show: No refund,Moins de 24 heures ou absence : Pas de remboursement
legal.terms.cancellation_text,Our standard cancellation policy is as follows (individual activities may have different policies):,Notre politique d'annulation standard est la suivante (certaines activités peuvent avoir des politiques différentes) :
legal.terms.cancellation_title,Cancellation Policy,Politique d'Annulation
legal.terms.contact_email_label,Email,Email
legal.terms.contact_phone_label,Phone,Téléphone
legal.terms.contact_text,"For questions about these Terms of Service, please contact us:","Pour toute question concernant ces Conditions d'Utilisation, veuillez nous contacter :"
legal.terms.contact_title,Contact Us,Nous Contacter
legal.terms.introduction_text,"Welcome to Go Adventure. These Terms of Service govern your use of our website and services. By accessing or using our platform, you agree to be bound by these terms.","Bienvenue sur Go Adventure. Ces Conditions d'Utilisation régissent votre utilisation de notre site web et de nos services. En accédant ou en utilisant notre plateforme, vous acceptez d'être lié par ces conditions."
legal.terms.introduction_title,Introduction,Introduction
legal.terms.ip_text,"All content on the Go Adventure platform, including text, graphics, logos, and software, is the property of Go Adventure or our content providers and is protected by intellectual property laws.","Tout le contenu de la plateforme Go Adventure, y compris les textes, graphiques, logos et logiciels, est la propriété de Go Adventure ou de nos fournisseurs de contenu et est protégé par les lois sur la propriété intellectuelle."
legal.terms.ip_title,Intellectual Property,Propriété Intellectuelle
legal.terms.law_text,"These Terms of Service are governed by the laws of Tunisia. Any disputes arising from these terms shall be resolved in the courts of Tunis, Tunisia.","Ces Conditions d'Utilisation sont régies par les lois de la Tunisie. Tout litige découlant de ces conditions sera résolu devant les tribunaux de Tunis, Tunisie."
legal.terms.law_title,Governing Law,Droit Applicable
legal.terms.liability_text,"Go Adventure acts as an intermediary between travelers and activity providers. While we carefully vet our partners, we are not liable for the actions, errors, or omissions of activity providers. We recommend travelers verify all activity details and purchase appropriate travel insurance.","Go Adventure agit en tant qu'intermédiaire entre les voyageurs et les prestataires d'activités. Bien que nous vérifions soigneusement nos partenaires, nous ne sommes pas responsables des actions, erreurs ou omissions des prestataires. Nous recommandons aux voyageurs de vérifier tous les détails de l'activité et de souscrire une assurance voyage appropriée."
legal.terms.liability_title,Limitation of Liability,Limitation de Responsabilité
legal.terms.obligations_accurate,Provide accurate and complete information when making bookings,Fournir des informations exactes et complètes lors des réservations
legal.terms.obligations_intro,"When using our services, you agree to:","En utilisant nos services, vous acceptez de :"
legal.terms.obligations_legal,Use the platform only for lawful purposes,Utiliser la plateforme uniquement à des fins légales
legal.terms.obligations_payment,Complete payment for confirmed bookings,Effectuer le paiement des réservations confirmées
legal.terms.obligations_respect,Treat activity providers and other users with respect,Traiter les prestataires d'activités et les autres utilisateurs avec respect
legal.terms.obligations_title,User Obligations,Obligations de l'Utilisateur
legal.terms.service_text,"Go Adventure is an online marketplace that connects travelers with local activity providers. We facilitate the discovery, booking, and payment for activities and events across Tunisia.","Go Adventure est une marketplace en ligne qui met en relation les voyageurs avec les prestataires d'activités locaux. Nous facilitons la découverte, la réservation et le paiement d'activités et événements à travers la Tunisie."
legal.terms.service_title,Our Service,Notre Service
legal.terms_last_updated,"December 18, 2025",18 décembre 2025
legal.terms_meta_description,Read our terms of service governing the use of Go Adventure platform.,Lisez nos conditions d'utilisation régissant l'utilisation de la plateforme Go Adventure.
legal.terms_title,Terms of Service,Conditions d'Utilisation
listing.about_experience,About This Experience,À propos de cette expérience
listing.accessibility.accessibleParking,Accessible parking available,Parking accessible disponible
listing.accessibility.accessibleRestrooms,Accessible restrooms,Toilettes accessibles
listing.accessibility.mobilityAidAccessible,Mobility aid accessible,Accessible aux aides à la mobilité
listing.accessibility.serviceAnimalsAllowed,Service animals allowed,Animaux d'assistance autorisés
listing.accessibility.title,Accessibility,Accessibilité
listing.accessibility.wheelchairAccessible,Wheelchair accessible,Accessible en fauteuil roulant
listing.accommodation,Accommodation,Hébergement
listing.accommodation_and_meals,Accommodation & Meals,Hébergement & Repas
listing.accommodation_type_camping,Camping,Camping
listing.accommodation_type_guesthouse,Guesthouse,Maison d'hôtes
listing.accommodation_type_hotel,Hotel,Hôtel
listing.accommodation_type_mixed,Mixed (varies by day),Mixte (varie selon le jour)
listing.accommodation_type_not_included,Not included,Non inclus
listing.available_extras,Available Add-ons,Options supplémentaires
listing.breakfast,Breakfast,Petit-déjeuner
listing.cancellation.atStartTime,At start time,À l'heure de début
listing.cancellation.daysBeforeStart,"{days, plural, =1 {1 day before start} other {# days before start}}","{days, plural, =1 {1 jour avant le début} other {# jours avant le début}}"
listing.cancellation.disclaimer,Cancellation times are based on the activity's local time. Refunds are processed within 7-10 business days.,Les heures d'annulation sont basées sur l'heure locale de l'activité. Les remboursements sont traités sous 7-10 jours ouvrables.
listing.cancellation.hoursBeforeStart,"{hours, plural, =1 {1 hour before start} other {# hours before start}}","{hours, plural, =1 {1 heure avant le début} other {# heures avant le début}}"
listing.cancellation.refund,refund,remboursement
listing.cancellation.refundSchedule,Refund Schedule,Calendrier de Remboursement
listing.cancellation.title,Cancellation Policy,Politique d'Annulation
listing.cancellation.type.flexible,Flexible,Flexible
listing.cancellation.type.moderate,Moderate,Modérée
listing.cancellation.type.non_refundable,Non-refundable,Non remboursable
listing.cancellation.type.strict,Strict,Stricte
listing.cancellation_message.flexible,Free cancellation up to 24h before,Annulation gratuite jusqu'à 24h avant
listing.cancellation_message.moderate,Free cancellation up to 48h before,Annulation gratuite jusqu'à 48h avant
listing.cancellation_message.non_refundable,Non-refundable booking,Réservation non remboursable
listing.cancellation_message.strict,Cancellation with restrictions,Annulation avec restrictions
listing.check_availability,Check Availability,Vérifier la Disponibilité
listing.day_by_day_program,Day-by-Day Program,Programme Jour par Jour
listing.day_experience,Day Experience,Jours d'Aventure
listing.day_number,Day {day},Jour {day}
listing.days,Days,Jours
listing.default_event_type,Special Event,Événement spécial
listing.default_location,Tunisia,Tunisie
listing.default_sejour_type,Adventure Trip,Séjour d'aventure
listing.default_tour_type,Guided Activity,Activité guidée
listing.difficulty,Difficulty,Difficulté
listing.difficulty_level.easy,Easy,Facile
listing.difficulty_level.extreme,Extreme,Extrême
listing.difficulty_level.hard,Hard,Difficile
listing.difficulty_level.moderate,Moderate,Modérée
listing.dinner,Dinner,Dîner
listing.duration,Duration,Durée
listing.duration_unit.day,day,jour
listing.duration_unit.days,days,jours
listing.duration_unit.hour,hour,heure
listing.duration_unit.hours,hours,heures
listing.duration_unit.minute,minute,minute
listing.duration_unit.minutes,minutes,minutes
listing.elevation_profile,Elevation Profile,Profil d'élévation
listing.experience_highlights,Experience Highlights,Points forts de l'expérience
listing.extras_description,Enhance your experience with these optional extras. You can select them during checkout.,Améliorez votre expérience avec ces extras optionnels. Vous pouvez les sélectionner lors du paiement.
listing.faqs.title,Frequently Asked Questions,Questions Fréquentes
listing.group_size,Group Size,Taille du Groupe
listing.highest_point,Highest Point,Point le plus haut
listing.highlights,Highlights,Points Forts
listing.important_requirements,Important Requirements,Conditions importantes
listing.included,What's Included,Ce qui est inclus
listing.itinerary,Itinerary,Itinéraire
listing.lowest_point,Lowest Point,Point le plus bas
listing.lunch,Lunch,Déjeuner
listing.max_elevation,Max Elevation,Altitude max
listing.max_guests,Max {count} guests,Max {count} voyageurs
listing.meals_included,Meals,Repas
listing.meeting_point,Meeting Point,Point de Rencontre
listing.more_extras_available,+{count} more add-ons available during checkout,+{count} options supplémentaires disponibles lors du paiement
listing.no_meals_included,No meals included,Repas non inclus
listing.not_included,Not Included,Non inclus
listing.per_booking,for entire group,pour tout le groupe
listing.per_person,per traveller,par voyageur
listing.per_person_type,varies by age,varie selon l'âge
listing.per_unit,per item,par article
listing.price_on_request,Price on request,Prix sur demande
listing.pricing_not_configured,Pricing not yet configured,Tarification pas encore configurée
listing.route_itinerary,Route & Itinerary,Itinéraire & Route
